epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,647.435,1.06001,1.01062,0.98549,0.90049,0.74083,0.81852,0.486,1.19647,1.09897,1.00438,0.000456863,0.000456863,0.000456863
43,662.67,1.09678,1.03619,0.98936,0.88144,0.72616,0.80995,0.46124,1.24171,1.21531,1.00311,0.00044925,0.00044925,0.00044925
44,678.022,1.0215,0.94967,0.96839,0.91739,0.72616,0.82448,0.50018,1.15374,1.06376,0.98042,0.000441637,0.000441637,0.000441637
45,693.615,1.04194,0.96929,0.97168,0.84808,0.78729,0.83184,0.49176,1.22328,0.99399,1.01917,0.000434024,0.000434024,0.000434024
46,708.817,1.01878,0.89727,0.95235,0.90239,0.75795,0.83063,0.50554,1.1706,1.07542,0.99256,0.000426411,0.000426411,0.000426411
47,724.373,1.03972,0.91837,0.96188,0.84308,0.77502,0.83132,0.50154,1.14928,1.04426,0.98901,0.000418797,0.000418797,0.000418797
48,739.573,0.98081,0.9267,0.94009,0.87464,0.79218,0.85094,0.504,1.18513,0.99076,0.98639,0.000411184,0.000411184,0.000411184
49,755.109,1.00205,0.91945,0.9658,0.91703,0.75668,0.83833,0.49675,1.20273,0.98832,1.00298,0.000403571,0.000403571,0.000403571
50,770.364,0.98734,0.8847,0.95292,0.86723,0.76655,0.81088,0.49827,1.17154,1.08883,1.00027,0.000395958,0.000395958,0.000395958
51,785.716,0.94572,0.86545,0.94463,0.88323,0.77675,0.84165,0.50771,1.16605,0.98683,0.98421,0.000388345,0.000388345,0.000388345
52,801.191,0.9917,0.87156,0.95646,0.88063,0.79362,0.83308,0.51817,1.12408,0.91984,0.98062,0.000380732,0.000380732,0.000380732
53,816.781,0.9523,0.8205,0.94265,0.90995,0.75795,0.82869,0.50724,1.16247,0.98608,0.98317,0.000373119,0.000373119,0.000373119
54,832.01,0.96064,0.8595,0.93751,0.87598,0.76528,0.82976,0.503,1.14479,1.03181,0.97187,0.000365506,0.000365506,0.000365506
55,847.253,0.96306,0.84636,0.93857,0.9145,0.75838,0.82689,0.51606,1.17614,1.04753,1.00064,0.000357893,0.000357893,0.000357893
56,862.448,0.92309,0.79353,0.93314,0.91829,0.76938,0.84081,0.52177,1.13575,1.05974,0.97243,0.00035028,0.00035028,0.00035028
57,877.972,0.93545,0.79842,0.92727,0.89195,0.76698,0.83942,0.51528,1.12979,1.03775,0.96981,0.000342666,0.000342666,0.000342666
58,893.194,0.9171,0.80201,0.92308,0.88955,0.78768,0.82497,0.51213,1.14016,1.03021,0.9793,0.000335053,0.000335053,0.000335053
59,908.44,0.92006,0.76794,0.92969,0.88279,0.79185,0.82955,0.51006,1.12546,1.05799,0.98009,0.00032744,0.00032744,0.00032744
60,923.671,0.91543,0.81421,0.93514,0.89581,0.77778,0.82797,0.51404,1.15461,1.03246,0.99308,0.000319827,0.000319827,0.000319827
61,938.904,0.9063,0.75284,0.93096,0.8628,0.78414,0.83286,0.5137,1.16989,0.98009,0.9899,0.000312214,0.000312214,0.000312214
62,954.113,0.88079,0.74026,0.92534,0.86526,0.77751,0.82678,0.5218,1.13178,0.98506,0.98265,0.000304601,0.000304601,0.000304601
63,969.332,0.8881,0.77602,0.92709,0.89564,0.79736,0.83235,0.52097,1.10891,0.90797,0.98122,0.000296988,0.000296988,0.000296988
64,984.564,0.86845,0.77569,0.91939,0.90652,0.79218,0.83617,0.52025,1.14688,0.98686,0.98602,0.000289375,0.000289375,0.000289375
65,999.781,0.87209,0.74925,0.90573,0.89608,0.77995,0.84467,0.52372,1.139,1.01615,0.98984,0.000281762,0.000281762,0.000281762
66,1015.28,0.86831,0.72589,0.91311,0.8965,0.79462,0.8335,0.52867,1.10114,0.95904,0.97216,0.000274148,0.000274148,0.000274148
67,1030.89,0.83355,0.72911,0.90947,0.92346,0.7824,0.83536,0.52881,1.09972,0.98502,0.98389,0.000266535,0.000266535,0.000266535
68,1046.47,0.84689,0.70376,0.91118,0.89533,0.7824,0.84653,0.52619,1.16036,0.97132,0.9865,0.000258922,0.000258922,0.000258922
69,1061.68,0.85841,0.71148,0.92464,0.90801,0.7964,0.84364,0.52702,1.12551,1.01564,0.98585,0.000251309,0.000251309,0.000251309
70,1076.85,0.84147,0.70956,0.92224,0.90947,0.786,0.83523,0.52473,1.1378,0.96343,1.00591,0.000243696,0.000243696,0.000243696
71,1092.18,0.83872,0.66951,0.91485,0.90983,0.78945,0.84521,0.53788,1.146,1.00927,0.99707,0.000236083,0.000236083,0.000236083
72,1107.65,0.83095,0.68865,0.89887,0.88908,0.80354,0.85198,0.54342,1.11783,0.91672,0.99924,0.00022847,0.00022847,0.00022847
73,1123.27,0.83142,0.67907,0.91245,0.90549,0.79647,0.83814,0.52867,1.13152,0.95329,1.01095,0.000220857,0.000220857,0.000220857
74,1138.49,0.80604,0.64189,0.89137,0.89926,0.8044,0.85302,0.54373,1.12333,0.97941,0.99065,0.000213244,0.000213244,0.000213244
75,1154.01,0.83068,0.64883,0.88794,0.91492,0.77506,0.84659,0.53565,1.14552,0.94936,0.99827,0.000205631,0.000205631,0.000205631
76,1169.19,0.80311,0.66031,0.90062,0.90966,0.8124,0.85511,0.54804,1.09223,0.91082,0.97597,0.000198018,0.000198018,0.000198018
77,1184.77,0.81053,0.65033,0.90368,0.9132,0.79746,0.8463,0.53754,1.10812,0.95403,0.9803,0.000190404,0.000190404,0.000190404
78,1199.98,0.78721,0.6496,0.8949,0.87444,0.81731,0.85013,0.53985,1.08386,1.00598,0.96221,0.000182791,0.000182791,0.000182791
79,1215.24,0.79251,0.63322,0.88509,0.86647,0.79326,0.84597,0.54586,1.13541,1.08075,0.98916,0.000175178,0.000175178,0.000175178
80,1230.41,0.79192,0.65084,0.91845,0.88649,0.80196,0.84298,0.55188,1.11484,1.00049,0.99167,0.000167565,0.000167565,0.000167565
81,1245.91,0.76665,0.59581,0.88923,0.86275,0.81907,0.85258,0.54457,1.12727,1.01777,0.99097,0.000159952,0.000159952,0.000159952
82,1261.13,0.78609,0.62152,0.89355,0.92417,0.7748,0.85499,0.55497,1.12293,1.04844,0.98496,0.000152339,0.000152339,0.000152339
83,1276.64,0.76392,0.61062,0.89518,0.91587,0.77185,0.84061,0.53644,1.13635,1.0407,1.00188,0.000144726,0.000144726,0.000144726
84,1291.96,0.75139,0.59855,0.89655,0.86738,0.79707,0.83844,0.5418,1.113,1.0238,0.98497,0.000137113,0.000137113,0.000137113
85,1307.19,0.76586,0.59161,0.88062,0.91547,0.76795,0.83384,0.53732,1.09998,1.08767,0.97942,0.0001295,0.0001295,0.0001295
86,1322.42,0.74619,0.58649,0.88803,0.88023,0.79061,0.84026,0.54152,1.12888,1.06465,0.99159,0.000121887,0.000121887,0.000121887
87,1337.71,0.72834,0.55966,0.88333,0.87808,0.80929,0.83823,0.54787,1.09423,1.03637,0.98306,0.000114273,0.000114273,0.000114273
88,1352.94,0.74309,0.55654,0.87919,0.91405,0.77506,0.83872,0.54374,1.09529,1.04945,0.97687,0.00010666,0.00010666,0.00010666
89,1368.14,0.735,0.56912,0.88479,0.9027,0.78973,0.83979,0.54105,1.12155,1.05317,0.99541,9.90472e-05,9.90472e-05,9.90472e-05
90,1383.31,0.72721,0.5705,0.87761,0.87643,0.8044,0.84554,0.54591,1.11128,1.04096,0.98672,9.14341e-05,9.14341e-05,9.14341e-05
91,1399.3,0.77944,0.52118,0.86398,0.8949,0.79106,0.84374,0.53681,1.11011,0.99478,0.98841,8.3821e-05,8.3821e-05,8.3821e-05
92,1414.46,0.77011,0.4824,0.86918,0.90958,0.79951,0.85309,0.53848,1.10209,1.00987,0.97982,7.62079e-05,7.62079e-05,7.62079e-05
93,1429.6,0.75276,0.47378,0.85056,0.92483,0.78213,0.8509,0.54114,1.11415,1.03346,0.96984,6.85948e-05,6.85948e-05,6.85948e-05
94,1444.78,0.73148,0.47338,0.85831,0.90861,0.79218,0.84485,0.54019,1.11097,1.04183,0.97294,6.09817e-05,6.09817e-05,6.09817e-05
95,1459.97,0.72241,0.43665,0.85634,0.93186,0.77262,0.84215,0.54559,1.10645,1.06332,0.96671,5.33686e-05,5.33686e-05,5.33686e-05
96,1475.13,0.73236,0.44936,0.84797,0.92702,0.77648,0.84751,0.5525,1.10101,1.0556,0.96322,4.57555e-05,4.57555e-05,4.57555e-05
97,1490.3,0.69162,0.43674,0.8404,0.90244,0.79161,0.85067,0.54644,1.09009,1.05206,0.96391,3.81424e-05,3.81424e-05,3.81424e-05
98,1505.45,0.69713,0.43951,0.85087,0.91978,0.78492,0.84792,0.55283,1.07934,1.05475,0.95925,3.05293e-05,3.05293e-05,3.05293e-05
99,1520.57,0.70737,0.425,0.84769,0.9076,0.78729,0.85369,0.54989,1.08415,1.06899,0.95999,2.29162e-05,2.29162e-05,2.29162e-05
100,1535.73,0.68723,0.4229,0.84691,0.91156,0.78484,0.85164,0.55563,1.08243,1.05812,0.95982,1.53031e-05,1.53031e-05,1.53031e-05
